id,name,substrate_family,substrate_tags,enabled_by,mechanism,new_capability,what_it_could_unlock,use_cases,technology_readiness_level,evidence_level,translational_gap,what_needs_to_happen,closest_companies,closest_labs,commercialisation_status,regulatory_complexity,capex_intensity,defensibility,notes,last_verified
organ-on-chip,Microfluidics / organ-on-chip / microphysiological systems (MPS),E,E.6,"Microfluidic control of parallel fluid streams plus microfabrication that lets living human cells be cultured under the mechanical forces, flow, and tissue-tissue interfaces of a real organ","Human cells are cultured in microfabricated channels where controlled flow, shear, and cyclic strain recreate an organ's microenvironment, and chips can be linked to model organ-to-organ drug movement","Human-relevant, dynamic tissue and multi-organ models that predict drug safety and disease behaviour without a live animal","A regulatory-accepted human substitute for animal toxicology, cutting drug attrition and enabling patient-specific disease modelling","Preclinical drug safety and toxicity prediction | Disease modelling (liver, gut, lung, blood-brain barrier, tumour) | Reducing and replacing animal testing under FDA Modernization Act 2.0 | ADME and multi-organ drug interaction studies | Patient-derived-cell models for precision medicine",7,regulatory_cleared,"Reproducibility and standardisation across labs, low throughput and hands-on operation, incomplete qualification of specific chips for specific regulatory contexts, and integration into pharma workflows already built around animal data","Context-of-use qualification of chips through FDA programs (ISTAND), standardised and scalable manufacturing, and validation datasets showing chips predict human outcomes better than animal models",Emulate | Hesperos (Human-on-a-Chip) | Mimetas (OrganoPlate) | CN Bio | TissUse,"Donald Ingber Lab (Wyss Institute, Harvard) | Kevin Kit Parker Lab (Harvard) | Michael Shuler / James Hickman (Human-on-a-Chip lineage)",commercial_early,high,high,high,"Strong regulatory tailwind. FDA Modernization Act 2.0 (2022) made animal testing optional; FDA issued guidance in April 2025 to phase out animal trials in favour of organoids and organ-on-chip, made the ISTAND pilot permanent in 2025 (Emulate was first OoC company accepted), and issued March 2026 draft guidance on new approach methodologies.",2026-07-06
phage-therapy,Bacteriophage / phage therapy,E,E.4,"Engineering bacteriophages to carry payloads (CRISPR-Cas3 that shreds bacterial DNA, or base editors) so the phage acts as a delivery vehicle that targets a bacterial genome from the inside","A phage injects an engineered genetic payload into its host bacterium; the payload either irreversibly degrades the target genome (Cas3) or precisely rewrites bases in situ, killing or reprogramming only the intended strain","Species- and strain-specific bacterial killing and in-vivo microbiome gene editing, rather than the broad kill of small-molecule antibiotics",Resistance-resilient eradication of multi-drug-resistant infections and precision editing of the gut or skin microbiome without wiping out commensals,Treatment of multi-drug-resistant UTIs and other MDR infections | Precision removal of pathogenic strains from the gut or skin microbiome | In-vivo base editing of microbiome genes (for example acne-associated skin bacteria) | Decolonisation of antibiotic-resistant carriers | Complement or replacement for last-line antibiotics,6,clinical_validated,"Manufacturing and scaling engineered phage and delivery vectors under GMP, host-range and immune neutralisation limiting durability, regulatory precedent for a self-replicating living drug, and bacterial resistance to phage entry","Confirmatory later-stage controlled trials, scalable GMP bioproduction of phage and delivery vectors, and a regulatory framework for engineered self-replicating and gene-editing biologics","Locus Biosciences (CRISPR-Cas3 engineered phage, LBP-EC01 for MDR UTI) | Eligo Bioscience (in-vivo microbiome base editing via phage-derived vectors) | Armata Pharmaceuticals | BiomX",Timothy Lu Lab (MIT) | Paul Turner Lab (Yale) | David Bikard Lab (Institut Pasteur),regulatory_review,very-high,high,high,"Locus reported positive Phase 2 data for its CRISPR-Cas3 engineered-phage cocktail LBP-EC01 in MDR UTI (all combination-arm participants resolved symptoms, most cured at the molecular level). Eligo published first-ever in-vivo microbiome base editing in the mouse gut in Nature and expanded its Series B to about $35M for immuno-dermatology.",2026-07-06
photonic-integrated-biosensing,Photonic integrated biosensing,D,D.2,CMOS-compatible silicon and silicon-nitride photonic foundry platforms plus stable surface bio-functionalisation chemistry,"A bio-recognition layer on a waveguide captures targets, and the resulting refractive-index shift changes the chip's optical resonance","Label-free, real-time, highly multiplexed biomarker detection on a low-cost lab-on-a-chip",Point-of-care multiplexed diagnostics reading many biomarkers at once from a single drop of sample,"Multiplexed protein and biomarker panels at point of care | Early cancer detection, infectious-disease diagnostics | Real-time binding-kinetics measurement, label-free serology | Water, food, and environmental pathogen monitoring",5,human_pilot,"Surface chemistry stability, fouling in real biofluids, low-cost photonic-fluidic-electronic packaging, and assay-level clinical validation","Robust functionalisation, manufacturable packaging and light coupling, and prospective clinical validation of assay menus",Delta Diagnostics | Surfix Diagnostics (SurfixDx) | HyPhoX,"Ghent University / imec Photonics Research Group (Baets, Bogaerts, Bienstman) | imec (Leuven) | LioniX International (TriPleX SiN PIC platform)",pilot_deployment,high,medium,medium,"Transducer physics is mature and public; moats sit in surface chemistry, packaging, assay menus, and clinical data, not the core sensing principle.",2026-07-06
prime-base-editing,Prime and base editing,E,E.3,"CRISPR-derived editors fused to reverse transcriptase or deaminase enzymes that make precise DNA changes without double-strand breaks, delivered in vivo by lipid nanoparticles and viral vectors","prime editing uses a guide RNA that both targets a site and templates a search-and-replace edit, while base editing chemically converts a single base, correcting disease-causing mutations without cutting both strands of DNA","precise, programmable correction of point mutations and small insertions or deletions in living cells with far less collateral genome damage than nuclease editing","durable one-time genetic cures for inherited diseases, delivered either to edited cells ex vivo or directly to tissues in the body","inherited monogenic disease correction (CGD, Wilson's disease) | ex-vivo corrected stem-cell and immune-cell therapies | in-vivo cardiovascular and metabolic gene editing | point-mutation repair without double-strand breaks",6,human_pilot,"in-vivo delivery efficiency and tissue targeting remain the central bottleneck, alongside off-target edits, durability of the correction, and scalable manufacturing of editors and delivery vehicles","more efficient and tissue-selective delivery beyond the liver, lower off-target rates, demonstrated durability of edits, and manufacturing that scales from bespoke ex-vivo therapies toward in-vivo dosing",Prime Medicine | Beam Therapeutics | Verve Therapeutics | Intellia Therapeutics,"Liu Lab (Broad Institute, prime and base editing invention) | Doudna Lab (UC Berkeley and IGI) | Musunuru Lab (University of Pennsylvania, in-vivo cardiac editing)",regulatory_review,very-high,high,high,"Split out from the old bundled dna-data-storage primitive to isolate the therapeutic gene-correction modality from digital storage and molecular recording. TRL 6 with human-pilot evidence: Prime Medicine's PM359 prime editor for p47phox chronic granulomatous disease reported first-in-human success in NEJM, with edited cells reaching 69 to 83 percent DHR-positive neutrophils, and a Wilson's disease program targeting first-in-human by 2026. Beam's base-editing BEAM-101 treated 40-plus sickle-cell patients in the BEACON trial. Ex-vivo cell therapies are more mature (TRL 7) than in-vivo dosing (TRL 6) because delivery is the gating problem. Tag E.3 for in-vivo cell editing.",2026-07-07
protein-design-diffusion-models,Protein design / diffusion models,C,C.1 | C.2,"Diffusion and flow-matching generative models plus inverse-folding networks trained on structural data, building on AlphaFold-grade structure prediction and RFdiffusion","A generative model samples a protein backbone conditioned on a target (an epitope, active site, or ligand), then an inverse-folding model designs the sequence that folds into it, directly modelling the interaction interface","Designs binders, enzymes, and receptors from scratch against a chosen target rather than screening or evolving from natural scaffolds","Bespoke biosensors, programmable smart therapeutics, synthetic antibodies against undruggable targets, and de novo gene-editor components",De novo antibodies and binders against hard targets | Custom enzymes and biocatalysts | Engineered receptors and biosensors | Novel components for gene editors and delivery,5,in_vitro,"Wet-lab validation is the bottleneck; hit rates and affinities are rising but designed proteins still fail on developability (stability, expression, immunogenicity, aggregation), and no de novo-designed protein drug is approved","Higher first-pass experimental success, developability baked into generation, cheaper high-throughput characterisation, and a clinical-stage asset that validates the path",Chai Discovery | Latent Labs | Nabla Bio | Profluent | Basecamp Research,Baker Lab (UW Institute for Protein Design) | Ovchinnikov Lab,preclinical,high,medium,high,"These are model-substrate companies. 2025 results (Latent-X, Nabla, Chai) report sub-micromolar binder success up to ~66% on some benchmarks and macrocycle hit rates >90% on select targets, but developability and in-vivo function remain unsolved.",2026-07-06
quantum-dot-sensing,Quantum dot sensing,D,D.2 | D.4,"Colloidal nanocrystals with size-tunable emission and near-unity quantum yield, plus microfluidic assay integration",Quantum dot nanocrystals absorb broadly and emit narrow size-tunable colours at near-unity efficiency for multiplexed optical readout,"Multiplexed, near-infrared deep-tissue sensing and continuous real-time biomarker monitoring under a single excitation","Ultra-early miRNA liquid biopsy and continuous hormone monitoring (insulin, glucagon, glucose) plus deep-tissue tumour imaging","Continuous multiplexed hormone monitoring (insulin, glucagon, glucose, lactate) | Ultra-early sub-femtomolar miRNA liquid biopsy | NIR deep-tissue tumour imaging and image-guided surgery | Targeted cancer therapy and cellular tracking",4,in_vivo_animal,"Perovskite QDs contain lead and degrade in biofluids, so in-vivo toxicity and stability are the gating risks, not physics","Lead-free chemistries, robust encapsulation, and a regulatory toxicology package for any in-vivo nanomaterial use","Quantum Orbit Labs (unverified, no public footprint)","Poudineh Lab (University of Waterloo), QIRT-ELISA continuous monitoring | NIR and perovskite QD bio-imaging groups (dispersed)",preclinical,high,medium,medium,"TRL split. QD immunoassays and continuous monitoring are TRL 4-6 (ex-vivo validated); in-vivo perovskite use is TRL 2-3, gated by lead toxicity and stability. Lower bound recorded.",2026-07-06
raman-metasurface-sensing,Raman metasurface sensing,D,D.2,"high-Q silicon metasurfaces that concentrate light into resonant near-field hotspots, moving Raman spectroscopy off benchtop optics onto mass-producible chips","engineered subwavelength structures create resonant field enhancement that amplifies weak inelastic (Raman) scattering, giving a label-free molecular vibrational fingerprint on a silicon chip",chip-scale label-free molecular fingerprinting and single-molecule vibrational readout without dyes or amplification,de novo protein sequencing and low-cost multiplexed molecular diagnostics on a manufacturable chip,de novo protein sequencing | label-free biomarker detection | metabolite and small-molecule fingerprinting | pathogen identification,3,in_vitro,"manufacturing uniform high-Q metasurfaces at wafer scale, achieving specificity in complex biofluids, and getting reproducible enhancement factors from chip to chip",demonstrate reproducible single-molecule Raman on a manufacturable silicon chip and validate readout on real clinical analytes,Pumpkinseed Bio,DARPA PROSE performers | silicon photonics and nanophotonics groups,research_only,high,high,high,"Distinct from terahertz-metasurfaces: same idea of engineered metasurface light control, but a different physical mechanism (Raman scattering on silicon nanophotonics, not terahertz absorption). Created to give Pumpkinseed Bio a correct join key instead of borrowing the terahertz primitive.",2026-07-06
self-healing-polymers,Self-healing polymers / elastomers,D,D.1 | D.4,"Dynamic, reversible cross-links (hydrogen bonds, metal-ligand coordination, dynamic covalent/vitrimer chemistry) that let a broken network ""re-zip"" and recover its mechanical and electrical properties","Reversible bonds in the polymer network break under damage and spontaneously reform when the fractured surfaces are brought back into contact, restoring toughness, stretch, and conductivity without external intervention","Materials that autonomously repair mechanical damage, extending the working life of soft, skin-mounted, and implanted devices exposed to constant strain","Durable long-dwell biosensors and implants that survive repeated deformation, plus reconfigurable scaffolds and stimuli-responsive drug-delivery matrices",self-repairing skin-mounted and wearable biosensors | long-lifetime implantable sensor encapsulation | self-healing inks and matrices for 3D bioprinting | stimuli-responsive matrices for controlled drug release,4,in_vitro,"Trade-off between fast autonomous healing and high mechanical strength, slow or condition-dependent healing kinetics, and unproven long-term biocompatibility and in-body healing all block medical translation","Elastomers that heal quickly under physiological conditions while staying tough, plus validated biocompatibility and demonstrated in-vivo self-repair in a real device","none fully commercialized in biomedical use | Arkema (industrial self-healing chemistry, non-medical)","Bao Group (Stanford University) | Sottos / Moore / White groups (Beckman Institute, UIUC) | Urban Lab (Clemson University) | Leibler group (ESPCI Paris, self-healing rubber / vitrimers) | Sijbesma Lab (Eindhoven University of Technology)",research_only,medium,medium,medium,"Thin-data primitive for biomedical use. Industrial self-healing coatings and elastomers exist commercially, but medical-device and implant applications remain lab-stage. Enabler for other primitives (flexible epidermal electronics, implantable biosensors) rather than a standalone product.",2026-07-06
spatial-omics,Spatial omics,A,A.1 | D.2,"In-situ barcoding chemistry (STARmap/RIBOmap, MERFISH, in-situ sequencing) plus imaging and probe hybridisation that read RNA and protein while preserving x-y-z tissue coordinates","Molecular probes tag transcripts and proteins in intact tissue, then imaging or sequencing reads each molecule's identity and physical location, reconstructing a spatial map of cell state and architecture","Reads the transcriptome or proteome of every cell without dissociating the tissue, keeping the wiring diagram of who sits next to whom, now extending into thick 3D volumes",Routine spatial diagnostics that map tumour response and immune microenvironment structure directly from a biopsy,Tumour-response and resistance maps | Immune microenvironment and tumour-architecture diagnostics | Target and biomarker discovery in intact tissue | Neuroscience atlases of cell-type organisation,8,real_world_proven,"Instruments and reagents are expensive, workflows are ex vivo and slow, and there is no reimbursed clinical assay, so the data stays in discovery rather than routine diagnostics; 3D thick-tissue multi-omics is still early access","Lower per-sample cost, faster turnaround, standardised panels, and a regulatory-cleared clinical assay with a reimbursement pathway",Stellaromics | 10x Genomics | Vizgen | NanoString (Bruker),Xiao Wang Lab (MIT/Broad) | Karl Deisseroth Lab (Stanford),commercial_scaled,medium,high,high,"2D platforms (10x Xenium/Visium, Vizgen MERSCOPE) are commercially scaled research tools; Stellaromics Pyxa pushes to true 3D multi-omics in thick tissue, initial commercial shipments late 2025, ~$105M raised.",2026-07-06
terahertz-metasurfaces,Terahertz metasurfaces,D,D.2,Subwavelength metasurface resonators that confine weak terahertz fields into deep-subwavelength hotspots with high Q-factors,A metasurface concentrates the terahertz field so low-energy molecular vibrations produce a label-free spectral fingerprint,Label-free molecular fingerprinting of conformational and vibrational modes that infrared and optical methods miss,"Non-contact skin-chemistry and hydration sensing, and reagent-free molecular identification of proteins and pathogens","Non-contact skin hydration and skin-chemistry sensing | Trace metabolite, ctDNA, and cancer-cell biomarker detection | Pathogen and protein sensing, thin-film assays | De novo protein sequencing (Raman-metasurface adjacency)",2,in_vitro,"Water absorbs terahertz strongly yet biology is aqueous, plus poor multiplex specificity and bulky, costly terahertz hardware","Solve the water paradox for in-vivo use, improve spectral specificity, and miniaturise low-cost terahertz sources and detectors","Terahertz Technologies (unverified as a biosensing company) | THzNanoVision (unverified, no public footprint) | no verified pure-play THz biosensing company; Pumpkinseed Bio is Raman, see raman-metasurface-sensing","Hatice Altug lab (EPFL), metasurface-enhanced IR molecular fingerprinting | Dispersed THz quasi-BIC and all-dielectric metasensor groups",research_only,high,high,high,"THz biosensing is early and water-limited (TRL 2-3). The commercially credible vibrational-metasurface activity has migrated to Raman/IR (Pumpkinseed's VISMO), which is a distinct primitive.",2026-07-06
topological-photonics,Topological photonics,D,D.2,Photonic-crystal and waveguide lattices engineered to host topologically protected edge modes immune to back-scattering and defects,"Topological edge states force light along robust unidirectional paths immune to defects, sharp bends, and back-scattering","Fabrication-resilient, defect-tolerant photonic biochips with ultra-high-Q resonances for trace and single-molecule detection","Manufacturable, deformable bio-interfaces and ultra-sensitive sensors, plus protected single-photon sources for quantum drug-discovery","Fabrication-resilient, defect-tolerant biosensor chips | Ultra-sensitive single-molecule and cancer-cell detection | Robust deformable bio-interfaces | Protected single-photon sources for photonic quantum computing",2,theoretical,"Almost entirely simulation and benchtop, no biofluid assays, hard integration with microfluidics and surface chemistry, no products","Move from refractive-index demos in air to real biofluids, integrate microfluidics and functionalisation, and prove manufacturable devices","Wave Photonics (PIC design tooling, not topological photonics) | Photonic Inc (spin-qubit quantum computing adjacency)","Mikael Rechtsman lab (Penn State), photonic topological insulators | Alexander Khanikaev (CCNY); Mordechai Segev (Technion); Marin Soljacic (MIT)",research_only,medium,high,high,"No pure-play topological-photonics biosensing company exists. Both named firms are ecosystem adjacencies, not topological-photonics players. Biosensing application is academic, TRL 2-3.",2026-07-06
triboelectric-nanogenerators,Triboelectric Nanogenerators,D,D.1,"Coupling of contact electrification and electrostatic induction in engineered material pairs, so ordinary body motion and fluid flow generate usable electrical charge","Two dissimilar materials repeatedly contact and separate, exchanging surface charge that electrostatic induction drives through a circuit as current, converting movement into electricity and into a signal","Battery-free power and active sensing from biomechanical motion, breath, pulse and sweat flow, removing the battery as the limiting component of a wearable","Self-powered, maintenance-free patches and implants that run indefinitely on the body's own motion","self-powered wearable motion, pulse and respiration sensors | battery-free sweat sensor patches | energy harvesting to power co-located biosensors | implantable self-powered monitors",3,in_vitro,"A TENG is a transducer, not a molecular recognition element, so biochemical selectivity must come from a separate sensing layer; output drifts with humidity and wear, durability over repeated cycles is limited, and there is no standardisation, leaving the field largely academic","Stable encapsulated output over long cycling, integration with a validated biochemical recognition layer, sweat and signal validity studies, and measurement standardisation before clinical use",none commercial-stage in bio-sensing,Zhong Lin Wang group (Georgia Tech and Beijing Institute of Nanoenergy),research_only,medium,low,medium,Genuinely useful as a power and motion-sensing layer; the biochemical-sensing claims are mostly academic because the TENG itself recognises nothing.,2026-07-06
wearable-biochemical-sensors,Wearable Biochemical Sensors,D,D.1 | D.3,"The convergence of flexible skin-conformal electronics, microfluidic sweat capture, and molecular recognition chemistries onto a single wearable, so biochemical analytes can be read continuously and non-invasively instead of by blood draw","A skin-worn patch samples sweat, saliva, or interstitial fluid through microfluidics and converts target analytes into an electrical or optical signal via electrochemical, aptamer, or enzymatic sensing","Continuous, non-invasive tracking of biochemistry (electrolytes, metabolites, hormones, drugs) from body fluids other than blood, worn like a fitness band","A biochemical layer on consumer and clinical wearables, extending continuous monitoring beyond heart rate and glucose to hydration, stress hormones, and drug levels",Hydration and heat-stress monitoring for athletes and industrial workers | Continuous cortisol and stress-hormone tracking | Wearable therapeutic drug monitoring for narrow-therapeutic-index drugs | Sweat lactate and glucose trends for metabolic and performance insight | Saliva-based non-invasive analyte panels,5,human_pilot,"Sweat and saliva concentrations vary with sweat rate, evaporation, and contamination and do not always track blood; each analyte needs its own calibration; sensors drift over a wear; and multiplexing several analytes on one durable device without crosstalk is unproven","Sweat-rate normalisation and microfluidic sampling that stabilise the sample, validated sweat- or saliva-to-blood correlation per analyte, drift-corrected multi-analyte sensor stacks, and regulatory-grade agreement studies for clinical claims",Epicore Biosystems | Nutromics | Xsensio,John Rogers Lab (Northwestern) | Joseph Wang Lab (UC San Diego) | Ali Javey Lab (UC Berkeley) | Wei Gao Lab (Caltech),commercial_early,medium,medium,medium,"This is the broad wearable-biochemical category. It overlaps and aggregates the narrower sensing primitives (electrochemical-aptamer-biosensing, microneedle-isf-sensing, flexible-epidermal-electronics): those are specific transduction or access mechanisms, while this primitive is the product category built on top of them. The most mature arm is sweat electrolyte and hydration monitoring (Epicore's hydration patch is commercial, TRL 6); hormone and drug sensing is earlier (TRL 4). Companies are mostly early-stage startups.",2026-07-07
wetware-biocomputing,Wetware biocomputing / neuromorphic bio-computing,E,E.6,"Culturing living neurons or brain organoids on high-density microelectrode arrays with life-support housing, plus closed-loop stimulation/readout that lets the network learn from electrical feedback","Living neurons grown on an electrode array receive structured electrical input and reward-like feedback; their self-organising synaptic plasticity adapts, so the biological network learns a task","Learning computation performed by living neural tissue, at a fraction of the energy of silicon, and a live human-neuron substrate for testing drugs and disease",Ultra-low-power adaptive learning hardware and human-neuron models that predict drug and disease effects on real neural circuits,"Ultra-low-power adaptive / learning compute | Drug-response and neurotoxicity testing on human neurons | Disease modelling (epilepsy, neurodegeneration) on live circuits | Neuroscience research platforms (wetware-as-a-service) | Brain-machine interface and neuromorphic research",4,in_vitro,"Neurons live only weeks to months, task complexity is trivial versus silicon, no programming abstraction or scalable architecture, poor reproducibility, and unresolved ethical questions around learning human neural tissue","Longer-lived and more stable cultures, a real programming/IO abstraction layer, demonstrated tasks with an advantage over silicon, and standardised reproducible manufacturing","Cortical Labs (CL1, Synthetic Biological Intelligence, Wetware-as-a-Service) | FinalSpark (Neuroplatform, brain organoids)","Cortical Labs research group (DishBrain / ""Pong"" learning) | Brett Kagan (Cortical Labs) | Thomas Hartung Lab (Johns Hopkins, ""organoid intelligence"")",commercial_early,medium,high,high,"Cortical Labs launched the CL1 in March 2025, described as the first commercially available biological computer (about $35,000, neurons kept alive up to ~6 months), and offers a Cortical Cloud Wetware-as-a-Service with a Python SDK. FinalSpark runs a remote Neuroplatform of brain organoids with lifetimes exceeding 100 days. Early-stage products sold mainly to researchers.",2026-07-06
